formOfNode,longitude,latitude
source,-3.086,52.691
junction,-3.087,52.727
source,-3.085,52.682
junction,-3.086,52.727
junction,-3.085,52.693
source,-3.086,52.715
junction,-3.084,52.726
source,-3.080,52.684
junction,-3.077,52.690
source,-3.076,52.724
source,-3.075,52.707
junction,-3.074,52.708
junction,-3.071,52.691
junction,-3.069,52.717
source,-3.066,52.690
source,-3.060,52.715
source,-3.060,52.723
source,-3.049,52.659
source,-3.033,52.717
junction,-2.997,52.736
source,-2.995,52.733
junction,-2.992,52.734
junction,-3.266,52.660
source,-3.266,52.713
source,-3.264,52.656
junction,-3.264,52.657
source,-3.263,52.675
junction,-3.264,52.712
junction,-3.260,52.655
junction,-3.260,52.672
junction,-3.256,52.696
junction,-3.254,52.700
junction,-3.253,52.713
junction,-3.252,52.705
junction,-3.246,52.707
source,-3.245,52.689
source,-3.245,52.676
source,-3.244,52.704
source,-3.238,52.695
junction,-3.235,52.715
source,-3.234,52.715
source,-3.231,52.664
source,-3.222,52.713
source,-3.217,52.675
source,-3.215,52.686
source,-3.207,52.699
source,-3.146,52.655
junction,-3.131,52.657
outlet,-3.146,52.658
source,-3.146,52.658
junction,-3.129,52.659
junction,-3.141,52.660
junction,-3.157,52.660
source,-3.142,52.661
junction,-3.132,52.662
source,-3.181,52.662
source,-3.110,52.665
junction,-3.117,52.667
junction,-3.118,52.670
source,-3.191,52.671
outlet,-3.134,52.673
source,-3.170,52.674
junction,-3.190,52.674
junction,-3.180,52.675
source,-3.161,52.676
source,-3.102,52.677
junction,-3.161,52.681
source,-3.188,52.681
junction,-3.157,52.682
junction,-3.099,52.683
source,-3.103,52.685
junction,-3.105,52.688
source,-3.194,52.687
junction,-3.348,52.656
source,-3.345,52.653
junction,-3.345,52.653
source,-3.337,52.683
junction,-3.338,52.714
junction,-3.337,52.684
source,-3.337,52.693
junction,-3.327,52.712
junction,-3.325,52.706
junction,-3.320,52.704
source,-3.312,52.713
source,-3.310,52.671
source,-3.307,52.685
junction,-3.298,52.663
junction,-3.298,52.687
source,-3.295,52.653
junction,-3.291,52.663
source,-3.288,52.663
junction,-3.285,52.662
junction,-3.279,52.662
source,-3.280,52.714
junction,-3.278,52.668
junction,-3.277,52.667
junction,-3.276,52.695
source,-3.271,52.700
junction,-3.269,52.693
junction,-3.137,52.653
junction,-3.134,52.646
junction,-3.134,52.653
source,-3.132,52.633
source,-3.123,52.594
source,-3.114,52.638
source,-3.110,52.648
source,-3.103,52.623
junction,-3.096,52.599
source,-3.094,52.609
source,-3.088,52.630
source,-3.064,52.650
junction,-3.051,52.652
junction,-3.184,52.593
junction,-3.182,52.593
junction,-3.179,52.653
source,-3.173,52.626
junction,-3.169,52.597
junction,-3.169,52.612
junction,-3.164,52.594
outlet,-3.161,52.639
source,-3.160,52.611
source,-3.159,52.640
junction,-3.158,52.612
junction,-3.147,52.622
source,-3.146,52.601
source,-3.145,52.621
source,-3.141,52.651
junction,-3.140,52.636
junction,-3.139,52.641
source,-3.279,52.643
junction,-3.277,52.616
source,-3.274,52.616
junction,-3.273,52.616
source,-3.271,52.591
source,-3.267,52.606
junction,-3.258,52.617
source,-3.258,52.647
source,-3.256,52.622
junction,-3.252,52.650
junction,-3.238,52.609
source,-3.238,52.647
source,-3.227,52.646
source,-3.216,52.640
source,-3.211,52.611
junction,-3.209,52.612
junction,-3.196,52.596
outlet,-3.192,52.603
source,-3.192,52.603
source,-3.193,52.631
source,-3.192,52.617
source,-3.190,52.590
junction,-3.191,52.613
source,-3.189,52.646
source,-3.018,52.572
source,-3.020,52.575
junction,-3.017,52.575
junction,-3.347,52.617
source,-3.345,52.627
junction,-3.344,52.605
junction,-3.343,52.601
source,-3.341,52.569
source,-3.339,52.559
outlet,-3.338,52.573
source,-3.338,52.639
junction,-3.332,52.599
junction,-3.330,52.576
junction,-3.331,52.650
source,-3.328,52.625
junction,-3.326,52.649
source,-3.312,52.590
junction,-3.310,52.563
source,-3.308,52.579
source,-3.307,52.628
junction,-3.302,52.628
source,-3.300,52.632
source,-3.296,52.560
junction,-3.295,52.560
source,-3.296,52.642
junction,-3.291,52.580
source,-3.288,52.598
junction,-3.287,52.622
source,-3.287,52.627
