code,label,cx,cy,pop,households,popDen,deprivation,deprivation4
E09000008,Croydon,533300,163557,129327658,152946,4516,79540,552
E09000009,Ealing,515931,181701,121517382,133659,6611.6,72131,518
E09000010,Enfield,532411,196432,109225366,120923,4082.5,69907,566
E09000011,Greenwich,542847,177046,95681177,114052,6108.6,59030,428
E09000012,Hackney,534348,185478,85777988,106081,13593.3,58395,605
E09000013,Hammersmith and Fulham,523529,178905,60626291,81244,11161.1,39496,379
E09000014,Haringey,531225,189614,87461454,105092,8930.2,59571,607
E09000015,Harrow,514912,190121,86458193,89642,5175.4,45961,233
E09000016,Havering,554032,187245,86740867,101277,2332.3,53374,212
E09000017,Hillingdon,507905,183585,101258196,109228,2644,59092,327
E09000018,Hounslow,513589,175668,95387911,102961,5148,57555,420
E09000019,Islington,531145,185005,71690297,96496,14574.9,49839,450
E09000020,Kensington and Chelsea,525606,179504,47457456,66884,11816.5,31710,426
E09000021,Kingston upon Thames,519327,166705,55629184,65626,4512.1,28987,116
E09000022,Lambeth,530807,174499,105146122,134688,11839.1,67322,473
E09000023,Lewisham,537676,174051,99483374,122392,8551.5,64609,536
E09000024,Merton,525579,169458,71227228,81729,5721.6,37672,168
E09000025,Newham,541466,182855,116193909,115507,9690.1,70108,501
E09000026,Redbridge,543919,189405,102696060,103713,5501.9,55719,277
E09000027,Richmond upon Thames,517367,172867,64637018,80705,3401.9,31444,130
E09000028,Southwark,533829,176738,101829171,130818,10659,67311,410
E09000029,Sutton,526964,164120,69390840,82348,4781,40456,187
E09000030,Tower Hamlets,536495,181509,102710293,120539,15702.9,64603,527
E09000031,Waltham Forest,537726,190195,92159999,102901,7173.3,56325,380
E09000032,Wandsworth,526055,174145,108404486,137393,9560,57206,396
E09000033,Westminster,527739,181005,67603440,94815,9514.2,47275,683
W06000001,Isle of Anglesey,241795,379205,22797625,30822,96.7,16139,30
W06000002,Gwynedd,263903,334963,38858407,51105,46.3,25744,67
W06000003,Conwy,283987,361802,37979271,52235,101.9,28137,90
W06000004,Denbighshire,309404,355776,31715096,42387,114.5,23395,102
W06000005,Flintshire,322419,369649,51293415,66911,352.3,34163,87
W06000006,Wrexham,331795,344142,44723065,57914,268.2,30780,95
W06000008,Ceredigion,258574,263991,23655908,30893,40,16340,28
W06000009,Pembrokeshire,201312,221152,40834146,55488,76.2,29941,97
W06000010,Carmarthenshire,251227,224511,62193245,81759,79.3,44709,91
W06000011,Swansea,257445,195641,78943500,104962,631.5,57198,180
W06000012,Neath Port Talbot,279564,199348,47097990,62375,322.5,36539,109
W06000013,Bridgend,289150,185340,48155866,62360,580.1,34044,91
W06000014,Vale of Glamorgan,302809,172697,43670485,57450,398.4,28157,68
W06000015,Cardiff,316778,179542,119921631,147333,2571.3,75245,419
W06000016,Rhondda Cynon Taf,300745,195665,78662481,103339,560.3,59965,203
W06000018,Caerphilly,316753,195610,58241436,76257,634.2,44178,134
W06000019,Blaenau Gwent,317699,208201,22143900,30340,615.1,18708,57
W06000020,Torfaen,327301,200555,30542694,40241,734.4,23225,80
W06000021,Monmouthshire,340238,206911,30770091,40923,109.5,19781,43
W06000022,Newport,333448,186541,52825614,66054,838.1,35761,189
W06000023,Powys,303993,270454,44080594,60182,25.7,30959,58
W06000024,Merthyr Tydfil,306153,205467,19478357,25783,528.2,15421,77
