decade,cName,hex,hue,sat,lum,hueX,hueY,perc
2000s,Light Turquoise,#07adc0,186,0.93,0.39,-0.10,-0.99,0.0026
2000s,Milky White,#e9e9e9,0,0.00,0.91,0.00,1.00,0.0025
2000s,Light Violet,#afbed6,217,0.32,0.76,-0.60,-0.80,0.0023
2000s,Light Purple,#8a12a8,288,0.81,0.36,-0.95,0.31,0.002
2000s,Light Lime,#deea92,68,0.68,0.75,0.93,0.37,0.002
2000s,Glitter Trans-Clear,#f5f7f4,100,0.16,0.96,0.98,-0.17,0.0018
2000s,Trans-Neon Yellow,#fff65c,57,1.00,0.68,0.84,0.54,0.0017
2000s,Speckle DBGray-Silver,#919392,150,0.01,0.57,0.50,-0.87,0.0015
2000s,Glitter Trans-Purple,#9d95e2,246,0.57,0.74,-0.91,-0.41,0.0015
2000s,Light Pink,#f17880,356,0.81,0.71,-0.07,1.00,0.0013
2000s,Speckle Black-Copper,#827169,19,0.11,0.46,0.33,0.95,0.0012
2000s,Yellowish Green,#e2f99a,75,0.89,0.79,0.97,0.26,0.0012
2000s,Very Light Gray,#bcb4a5,39,0.15,0.69,0.63,0.78,0.0007
2000s,Dark Blue-Violet,#0e3e9a,219,0.83,0.33,-0.63,-0.78,0.0007
2000s,Pearl Very Light Gray,#989b99,140,0.01,0.60,0.64,-0.77,0.0005
2000s,Chrome Black,#604b48,8,0.14,0.33,0.14,0.99,0.0005
2000s,Rust,#872b17,11,0.71,0.31,0.19,0.98,0.0003
2000s,Very Light Orange,#fdc383,31,0.97,0.75,0.52,0.86,0.0003
2000s,Trans Light Royal Blue,#1dd9ec,186,0.84,0.52,-0.10,-0.99,0.0003
2000s,Medium Lavender,#a06eb9,280,0.35,0.58,-0.98,0.17,0.0002
2000s,Glow in Dark White,#f5f3d7,56,0.60,0.90,0.83,0.56,0.0002
2010s,Black,#1b2a34,204,0.32,0.15,-0.41,-0.91,17.83
2010s,Light Bluish Gray,#969696,0,0.00,0.59,0.00,1.00,15.65
