id,sGroup,sTime,Villaines,Fougeres,Tinteniac,Loudeac,St Nicolas,Carhaix,Brest,Carhaix2,Loudeac2,Tinteniac2,Fougeres2,Villaines2,Mortagne,Dreux,Guyancourt
S287,90h,2015-08-16T19:47Z,44210,62896,79580,98227,115734,123960,143414,165198,187095,211571,224141,245803,265524,292543,310892
F173,90h,2015-08-16T17:16Z,36282,60642,73721,94525,106237,127669,145849,164228,185883,215580,231465,249833,267462,292388,310903
P100,90h,2015-08-16T19:17Z,33839,49786,60979,77599,89741,95475,137972,155146,173185,191305,203642,244310,259065,287917,310927
P251,90h,2015-08-16T19:16Z,41805,61384,75070,92526,120323,128826,151654,171376,191831,224246,235158,256499,274970,297005,310942
F116,90h,2015-08-16T17:16Z,35216,52332,72269,87616,100281,107051,129542,160035,177873,195770,227373,246288,262611,278876,310978
F115,90h,2015-08-16T17:16Z,35215,52254,72039,87615,100281,107052,129440,160136,177877,195773,227375,246292,262610,278878,310978
L126,90h,2015-08-16T18:31Z,37304,58702,74368,91833,107164,126324,147522,166560,188266,229994,241252,258213,275923,294360,310983
K195,90h,2015-08-16T18:17Z,35971,54481,66958,89235,100310,114795,138630,164034,184718,214449,226772,248742,268919,293401,311021
L306,90h,2015-08-16T18:31Z,33631,50020,60463,77144,86916,121751,136201,151238,172127,191052,226395,243351,261728,277801,311036
T255,90h,2015-08-16T20:02Z,36797,53741,65900,82890,106561,113120,139360,161818,178909,213905,225321,247541,264120,295653,311051
L128,90h,2015-08-16T18:31Z,42424,59448,72635,93527,105432,117901,143156,166119,183425,219314,232232,248948,269711,293083,311157
