code,geography,catgory,value
E06000062,LA,3,331
E06000062,LA,4,50022
E06000062,LA,5,2122
E06000062,LA,6,80149
E06000062,LA,7,4565
E06000062,LA,8,6342
E06000062,LA,9,21518
E06000062,LA,10,16894
E07000008,LA,-8,20687
E07000008,LA,1,37584
E07000008,LA,2,464
E07000008,LA,3,50
E07000008,LA,4,14702
E07000008,LA,5,904
E07000008,LA,6,38895
E07000008,LA,7,2177
E07000008,LA,8,1432
E07000008,LA,9,5852
E07000008,LA,10,3635
E07000009,LA,-8,16255
E07000009,LA,1,35870
E07000009,LA,2,256
E07000009,LA,3,54
E07000009,LA,4,10136
E07000009,LA,5,357
E07000009,LA,6,13771
E07000009,LA,7,616
E07000009,LA,8,1214
E07000009,LA,9,4465
E07000009,LA,10,4008
E07000010,LA,-8,17612
E07000010,LA,1,37095
E07000010,LA,2,212
E07000010,LA,3,112
E07000010,LA,4,13988
E07000010,LA,5,562
E07000010,LA,6,17601
E07000010,LA,7,707
E07000010,LA,8,1570
E07000010,LA,9,5860
E07000010,LA,10,5738
E07000011,LA,-8,32557
E07000011,LA,1,71685
E07000011,LA,2,447
E07000011,LA,3,138
E07000011,LA,4,21226
E07000011,LA,5,734
E07000011,LA,6,30015
E07000011,LA,7,1291
E07000011,LA,8,2553
E07000011,LA,9,9557
E07000011,LA,10,8173
E07000012,LA,-8,31726
E07000012,LA,1,68113
E07000012,LA,2,465
E07000012,LA,3,132
E07000012,LA,4,16284
E07000012,LA,5,620
E07000012,LA,6,26034
E07000012,LA,7,1178
E07000012,LA,8,2095
E07000012,LA,9,7406
E07000012,LA,10,6738
E07000026,LA,-8,15607
E07000026,LA,1,37820
E07000026,LA,2,200
E07000026,LA,3,36
E07000026,LA,4,10614
E07000026,LA,5,349
E07000026,LA,6,17550
E07000026,LA,7,532
E07000026,LA,8,1284
E07000026,LA,9,5512
E07000026,LA,10,5671
E07000027,LA,-8,11572
E07000027,LA,1,23391
E07000027,LA,2,122
E07000027,LA,3,21
E07000027,LA,4,8198
E07000027,LA,5,274
E07000027,LA,6,13820
E07000027,LA,7,415
E07000027,LA,8,1002
E07000027,LA,9,4261
E07000027,LA,10,3803
E07000028,LA,-8,18670
E07000028,LA,1,40119
E07000028,LA,2,262
E07000028,LA,3,46
E07000028,LA,4,12935
E07000028,LA,5,512
E07000028,LA,6,21581
E07000028,LA,7,664
E07000028,LA,8,1781
E07000028,LA,9,6432
E07000028,LA,10,5839
E07000029,LA,-8,11053
E07000029,LA,1,25889
E07000029,LA,2,144
E07000029,LA,3,26
E07000029,LA,4,7125
E07000029,LA,5,222
E07000029,LA,6,12905
E07000029,LA,7,382
E07000029,LA,8,913
E07000029,LA,9,3791
E07000029,LA,10,3925
E07000030,LA,-8,8088
E07000030,LA,1,23799
E07000030,LA,2,109
E07000030,LA,3,21
E07000030,LA,4,5944
E07000030,LA,5,248
E07000030,LA,6,9306
E07000030,LA,7,394
E07000030,LA,8,643
E07000030,LA,9,2700
E07000030,LA,10,3163
E07000031,LA,-8,14277
E07000031,LA,1,44341
E07000031,LA,2,296
E07000031,LA,3,66
E07000031,LA,4,11330
E07000031,LA,5,390
E07000031,LA,6,17143
E07000031,LA,7,724
E07000031,LA,8,1216
E07000031,LA,9,5761
E07000031,LA,10,6299
E07000032,LA,-8,21128
E07000032,LA,1,48635
E07000032,LA,2,348
E07000032,LA,3,85
E07000032,LA,4,16333
E07000032,LA,5,642
E07000032,LA,6,21928
E07000032,LA,7,647
E07000032,LA,8,1840
E07000032,LA,9,7097
E07000032,LA,10,6513
E07000033,LA,-8,13995
E07000033,LA,1,28945
E07000033,LA,2,211
E07000033,LA,3,44
E07000033,LA,4,11566
E07000033,LA,5,504
E07000033,LA,6,13975
E07000033,LA,7,476
E07000033,LA,8,1213
E07000033,LA,9,4534
E07000033,LA,10,4168
E07000034,LA,-8,17562
E07000034,LA,1,36173
E07000034,LA,2,244
E07000034,LA,3,59
E07000034,LA,4,13414
E07000034,LA,5,628
E07000034,LA,6,20022
E07000034,LA,7,593
E07000034,LA,8,1600
E07000034,LA,9,6813
E07000034,LA,10,5538
E07000035,LA,-8,10436
E07000035,LA,1,31432
E07000035,LA,2,219
E07000035,LA,3,34
E07000035,LA,4,7626
E07000035,LA,5,302
E07000035,LA,6,10949
E07000035,LA,7,445
E07000035,LA,8,970
E07000035,LA,9,3843
E07000035,LA,10,4172
E07000036,LA,-8,19353
E07000036,LA,1,40818
E07000036,LA,2,273
E07000036,LA,3,78
E07000036,LA,4,15582
E07000036,LA,5,650
E07000036,LA,6,20977
E07000036,LA,7,563
E07000036,LA,8,1641
E07000036,LA,9,6469
E07000036,LA,10,5724
E07000037,LA,-8,15252
E07000037,LA,1,34383
E07000037,LA,2,276
E07000037,LA,3,48
E07000037,LA,4,11296
E07000037,LA,5,455
E07000037,LA,6,16644
E07000037,LA,7,477
E07000037,LA,8,1388
E07000037,LA,9,5479
E07000037,LA,10,4573
E07000038,LA,-8,16725
E07000038,LA,1,41001
E07000038,LA,2,230
E07000038,LA,3,65
E07000038,LA,4,12276
E07000038,LA,5,422
E07000038,LA,6,16923
E07000038,LA,7,514
E07000038,LA,8,1469
E07000038,LA,9,5809
E07000038,LA,10,5857
E07000039,LA,-8,20049
E07000039,LA,1,41430
E07000039,LA,2,283
E07000039,LA,3,78
E07000039,LA,4,14022
E07000039,LA,5,540
E07000039,LA,6,17446
E07000039,LA,7,619
E07000039,LA,8,1561
E07000039,LA,9,5237
E07000039,LA,10,4617
E07000040,LA,-8,23409
E07000040,LA,1,63786
E07000040,LA,2,400
E07000040,LA,3,98
E07000040,LA,4,16386
E07000040,LA,5,702
E07000040,LA,6,22654
E07000040,LA,7,1077
E07000040,LA,8,2030
E07000040,LA,9,8751
E07000040,LA,10,9077
E07000041,LA,-8,19350
E07000041,LA,1,38144
E07000041,LA,2,344
E07000041,LA,3,76
E07000041,LA,4,14558
E07000041,LA,5,846
E07000041,LA,6,33085
E07000041,LA,7,884
E07000041,LA,8,1622
E07000041,LA,9,7088
E07000041,LA,10,4943
E07000042,LA,-8,14579
E07000042,LA,1,33512
E07000042,LA,2,262
E07000042,LA,3,65
E07000042,LA,4,9583
E07000042,LA,5,336
E07000042,LA,6,13365
E07000042,LA,7,531
E07000042,LA,8,1254
E07000042,LA,9,4437
E07000042,LA,10,4260
E07000043,LA,-8,16374
E07000043,LA,1,38947
E07000043,LA,2,240
E07000043,LA,3,61
E07000043,LA,4,11250
E07000043,LA,5,422
E07000043,LA,6,16364
E07000043,LA,7,632
E07000043,LA,8,1462
E07000043,LA,9,5803
E07000043,LA,10,5557
E07000044,LA,-8,13651
E07000044,LA,1,38033
E07000044,LA,2,318
E07000044,LA,3,39
E07000044,LA,4,9440
E07000044,LA,5,342
E07000044,LA,6,13736
E07000044,LA,7,620
E07000044,LA,8,1198
E07000044,LA,9,5497
E07000044,LA,10,4843
E07000045,LA,-8,21304
E07000045,LA,1,53825
E07000045,LA,2,412
E07000045,LA,3,107
E07000045,LA,4,15685
E07000045,LA,5,662
E07000045,LA,6,21707
E07000045,LA,7,851
E07000045,LA,8,1954
E07000045,LA,9,8707
E07000045,LA,10,7485
E07000046,LA,-8,10504
E07000046,LA,1,28150
E07000046,LA,2,212
E07000046,LA,3,56
E07000046,LA,4,7832
E07000046,LA,5,324
E07000046,LA,6,10685
E07000046,LA,7,422
E07000046,LA,8,1029
E07000046,LA,9,4116
E07000046,LA,10,3994
E07000047,LA,-8,8611
E07000047,LA,1,24510
E07000047,LA,2,146
E07000047,LA,3,54
E07000047,LA,4,5842
E07000047,LA,5,244
E07000047,LA,6,8593
E07000047,LA,7,422
E07000047,LA,8,767
E07000047,LA,9,3265
E07000047,LA,10,3196
E07000061,LA,-8,16977
E07000061,LA,1,33236
E07000061,LA,2,542
